id,nome,fonte,descricao,equipamento,caracteristica,personalidadessugeridas,created_at,skill_proficiencies,tool_proficiencies,language_count,language_options
academico-recluso,Acadêmico Recluso,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""História"",""Uma entre Arcanismo/Natureza/Religião""]",,2,Dois idiomas à sua escolha
acolito,Acólito,Livro do Jogador,"Você serviu como intermediário entre o reino do sagrado e o mundo mortal, realizando rituais sagrados e oferecendo sacrifícios para conduzir adoradores à presença do divino.","[""Um símbolo sagrado"",""Um livro de orações ou roda de orações"",""5 bastões de incenso"",""Vestimentas"",""Roupas comuns"",""Uma bolsa com 15 po""]","{""nome"":""Abrigo dos Fiéis"",""descricao"":""Você e seus companheiros de aventura podem receber cura e cuidados gratuitos em um templo, santuário ou outra fortaleza de sua fé. Aqueles que compartilham sua religião apoiarão você (mas apenas você) com um estilo de vida modesto.""}","{""ideais"":[""Tradição. As tradições ancestrais de adoração e sacrifício devem ser preservadas e perpetradas. (Leal)"",""Caridade. Eu sempre tento ajudar aqueles em necessidade, não importando o custo pessoal. (Bom)"",""Mudança. Nós devemos ajudar a conduzir as mudanças que os deuses estão constantemente trabalhando para o mundo. (Caótico)"",""Poder. Eu espero que um dia eu consiga chegar ao topo na hierarquia da minha religião. (Leal)"",""Fé. Eu acredito que minha divindade guia minhas ações. Eu tenho fé que, se eu trabalhar duro, coisas boas acontecerão. (Leal)"",""Aspiração. Eu busco ser digno da graça do meu deus ao corresponder minhas ações aos seus ensinamentos. (Qualquer)""],""tracos"":[""Eu idolatro um herói particular da minha fé, e constantemente me refiro a seus feitos e exemplos."",""Eu consigo encontrar semelhanças mesmo entre os inimigos mais violentos, com empatia e sempre trabalhando pela paz."",""Eu vejo presságios em cada evento e ação. Os deuses estão falando conosco, nós apenas temos de ouvi-los."",""Nada pode abalar minha atitude otimista."",""Eu cito (corretamente ou não) textos sagrados e provérbios em quase qualquer situação."",""Eu sou tolerante (ou intolerante) a qualquer outra fé, e respeito (ou condeno) a adoração a outros deuses."",""Eu aprecio comida requintada, bebidas e a elite entre o alto escalão de meu templo. Uma vida dura me irrita."",""Eu passei tanto tempo no templo que possuo pouca prática em lidar com as pessoas mundo a fora.""],""defeitos"":[""Eu julgo os outros severamente, e a mim mesmo mais ainda."",""Eu deposito muita confiança naqueles que detêm o poder na hierarquia de meu templo."",""Minha devoção é muitas vezes me cega perante aqueles que professam a fé do meu deus."",""Meu pensamento é inflexível."",""Eu suspeito de estranhos e sempre espero o pior deles."",""Depois de escolher um objetivo, eu fico obcecado em cumpri-lo, até mesmo em detrimento de qualquer outra coisa em minha vida.""],""vinculos"":[""Eu morreria para recuperar uma relíquia ancestral de minha fé, perdida há muito tempo."",""Eu ainda terei minha vingança contra o templo corrupto que me acusou de heresia."",""Eu devo minha vida ao sacerdote que me acolheu quando meus pais morreram."",""Tudo o que faço, faço pelo povo."",""Eu farei qualquer coisa para proteger o templo que sirvo."",""Eu busco guardar um texto sagrado que meus inimigos dizem ser herético e tentam destruí-lo.""]}",2025-10-17 02:22:45.405919+00,"[""Intuição"",""Religião""]",,2,Dois idiomas à sua escolha
agente-faccao,Agente de Facção,Guia de Aventuras da Costa da Espada,"Muitas organizações ativas nos Reinos do Norte e em toda a face de Faerûn não são públicas. Essas facções perseguem suas agendas sem se anunciarem, não procurando fama ou glória. Você é um agente de uma dessas organizações.","[""Um distintivo ou emblema de sua facção"",""Uma cópia de um texto seminal de sua facção (ou um código que identifica você como membro)"",""Um conjunto de roupas comuns"",""Uma bolsa contendo 15 po""]","{""nome"":""Abrigo Seguro"",""descricao"":""Como agente de sua facção, você tem acesso a uma rede secreta de apoiadores e operativos que podem fornecer assistência em suas aventuras. Você conhece um conjunto de sinais secretos e senhas que podem identificá-lo como membro da facção e transmitir mensagens para outros membros da facção. Você pode se movimentar clandestinamente entre as comunidades onde sua facção está presente. Casas seguras oferecem um lugar para descansar ou se recuperar, e agentes da facção podem fornecer assistência, recursos ou informações para promover os objetivos de sua organização.""}",,2025-10-17 02:22:46.562345+00,"[""Intuição"",""Uma perícia apropriada à facção""]",,2,Dois idiomas à sua escolha
artesao-cla,Artesão do Clã,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""História"",""Intuição""]","[""Um tipo de ferramenta de artesão""]",1,Anão (se não for Anão) ou um idioma à sua escolha
artesao-guilda,Artesão de Guilda,Livro do Jogador,"Você é membro de uma guilda de artesãos, habilidoso em um campo específico e estreitamente associado a outros artesãos. Você é uma parte bem estabelecida do mundo mercantil.","[""Um conjunto de ferramentas de artesão (à sua escolha)"",""Uma carta de apresentação de sua guilda"",""Um conjunto de roupas de viajante"",""Uma bolsa contendo 15 po""]","{""nome"":""Membro de Guilda"",""descricao"":""Você pode obter alojamento e comida para si e seus companheiros em uma guilda, e pode pagar à guilda para apoiar um funeral decente. Se você está bem estabelecido em uma guilda, pode se qualificar para apoio político também. A guilda também pode fornecer acesso a patronos poderosos e aliados.""}","{""ideais"":[""Comunidade. É dever de todo cidadão civilizado fortalecer os elos da comunidade e a segurança da civilização. (Leal)"",""Generosidade. Meus talentos me foram dados para que eu pudesse usá-los para beneficiar o mundo. (Bom)"",""Liberdade. Todos deveriam ser livres para perseguir seus próprios meios de vida. (Caótico)"",""Ganância. Eu só estou aqui pelo dinheiro. (Mau)"",""Povo. Eu sou cometido com o povo com quem me importo, não com ideias. (Neutro)"",""Aspiração. Eu trabalho duro para ser o melhor no meu ofício. (Qualquer)""],""tracos"":[""Eu acredito que tudo que valha a pena fazer, vale a pena ser feito direito. Eu não posso evitar – Eu sou perfeccionista."",""Eu sou um esnobe que olha de cima a baixo aqueles que não sabem apreciar artes requintadas."",""Eu sempre quero aprender como as coisas funcionam e o que deixa as pessoas motivadas."",""Eu sou cheio de aforismos espirituosos e tenho um provérbio para cada ocasião."",""Eu sou grosso com as pessoas que não tem o mesmo comprometimento que eu com o trabalho duro e honesto."",""Eu gosto de falar longamente sobre minha profissão."",""Eu não gasto meu dinheiro facilmente e vou barganhar incansavelmente para conseguir o melhor acordo possível."",""Eu sou bem conhecido pelo meu trabalho e quero ter certeza que todos o apreciam. Eu sempre fico surpreso quando conheço pessoas que não ouviram falar de mim.""],""defeitos"":[""Eu farei de tudo para pôr minha mãos em algo raro ou inestimável."",""Eu rapidamente presumo que alguém está tentando me trapacear."",""Ninguém nunca poderá saber que eu, certa vez, roubei dinheiro dos cofres da guilda."",""Eu nunca estou satisfeito com o que tenho – eu sempre quero mais."",""Eu mataria para adquirir um título de nobreza."",""Eu sou terrivelmente invejoso com qualquer um que possa ofuscar meu ofício. Todo lugar que eu vou, estou cercado de rivais.""],""vinculos"":[""A oficina onde aprendi meu negócio é o local mais importante do mundo pra mim."",""Eu criei um trabalho incrível para alguém, mas descobri que ele não era merecedor de recebê-lo. Ainda estou à procura de alguém que seja merecedor."",""Eu tenho uma grande dívida para com minha guilda por fazer de mim a pessoa que sou hoje."",""Eu busco riqueza para conseguir o amor de alguém."",""Um dia eu voltarei para a minha guilda e provarei que sou o maior artesão dentre eles."",""Eu irei me vingar das forças malignas que destruíram meu local de negócios e arruinaram meu estilo de vida.""]}",2025-10-17 02:22:45.500134+00,"[""Intuição"",""Persuasão""]","[""Um tipo de ferramenta de artesão""]",1,Um idioma à sua escolha
artista,Artista,Livro do Jogador,"Você prospera na frente de uma audiência. Você sabe como encantá-los, entretê-los e até inspirá-los. Seus poemas podem mexer com os corações daqueles que os ouvem, despertando tristeza ou alegria, riso ou raiva.","[""Um instrumento musical (à sua escolha)"",""Um favor de um admirador (carta de amor, mecha de cabelo ou bugiganga)"",""Um traje"",""Uma bolsa contendo 15 po""]","{""nome"":""A Pedido do Público"",""descricao"":""Você sempre pode encontrar um lugar para se apresentar, geralmente em uma taverna ou estalagem, mas possivelmente com um circo, em um teatro ou até mesmo em uma corte nobre. Em tais lugares, você recebe alojamento e comida gratuita de qualidade modesta ou confortável, dependendo da qualidade do estabelecimento. Além disso, sua performance faz de você uma espécie de figura local. Quando estranhos o reconhecem em uma cidade onde você se apresentou, eles geralmente gostam de você.""}","{""ideais"":[""Beleza. Quando eu atuo, eu torno o mundo um lugar melhor. (Bom)"",""Tradição. As histórias, lendas e canções do passado nunca devem ser esquecidas, pois elas nos ensinam quem nós somos. (Leal)"",""Criatividade. O mundo precisa de novas ideias e ações ousadas. (Caótico)"",""Ganância. Eu só estou aqui pelo dinheiro e pela fama. (Mau)"",""Povo. Eu gosto de ver os sorrisos nos rostos das pessoas quando eu atuo. Isso é tudo que importa. (Neutro)"",""Honestidade. A arte deve refletir a alma; ela deve vir de dentro e revelar quem realmente somos. (Qualquer)""],""tracos"":[""Eu conheço uma história relevante de praticamente todas as situações."",""Sempre que eu chego em um lugar novo, eu coleto os rumores locais e espalho fofocas."",""Eu sou um romântico incorrigível, sempre em busca daquele \""alguém especial.\"""",""Ninguém fica com raiva de mim ou perto de mim por muito tempo, já que eu posso acabar com qualquer tipo de tensão."",""Eu amo um bom insulto, até os direcionados a mim."",""Eu fico sentido se eu não for o centro das atenções."",""Eu não vou me contentar com nada menos que a perfeição."",""Eu mudo de ânimo ou de pensamento tão rápido quando mudo eu mudo de nota em uma canção.""],""defeitos"":[""Eu farei de tudo para ganhar fama e renome."",""Eu viro um idiota quando vejo um rosto bonito."",""Um escândalo me impede de voltar para casa novamente. Esse tipo de problema parece me perseguir por ai."",""Eu, certa vez, satirizei um nobre que ainda quer minha cabeça. Foi um erro que eu adoraria repetir."",""Eu tenho problemas em esconder meus verdadeiros sentimentos. Minha língua afiada me mete em confusão."",""Apesar dos meus melhores esforços, meus amigos não me consideram confiável.""],""vinculos"":[""Meu instrumento é meu bem mais valioso e ele me lembra de alguém que eu amo."",""Alguém roubou meu precioso instrumento e, algum dia, eu vou pegá-lo de volta."",""Eu quero ser famoso, custe o que custar."",""Eu idolatro um herói dos contos antigos e mensuro meus feitos baseados nessa personalidade."",""Eu vou fazer tudo para provar que sou superior eu meu odiado rival."",""Eu faria qualquer coisa pelos membros da minha antiga trupe.""]}",2025-10-17 02:22:45.597244+00,"[""Acrobacia"",""Atuação""]","[""Kit de disfarce"",""Um tipo de instrumento musical""]",0,
cacador-recompensas,Caçador de Recompensas Urbano,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""Duas entre Enganação/Intuição/Persuasão/Furtividade""]","[""Dois entre kit de jogo/instrumento/ferramentas de ladrão""]",0,
cavaleiro-ordem,Cavaleiro da Ordem,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""Persuasão"",""Uma entre Arcanismo/História/Natureza/Religião""]","[""Um tipo de kit de jogo ou instrumento musical""]",1,Um idioma à sua escolha
charlatao,Charlatão,Livro do Jogador,"Você sempre teve um jeito com as pessoas. Você sabe o que as faz funcionar, você pode tocar seus corações depois de alguns minutos de conversa, e com mais algumas perguntas principais você pode ler-las como se fossem livros infantis.","[""Um conjunto de roupas finas"",""Um kit de disfarce"",""Ferramentas do ofício (dez garrafas com rolha cheias de líquidos coloridos, um conjunto de dados viciados, um baralho de cartas marcadas ou um anel de sinete de um duque imaginário)"",""Uma bolsa contendo 15 po""]","{""nome"":""Identidade Falsa"",""descricao"":""Você criou uma segunda identidade que inclui documentação, conhecidos estabelecidos e disfarces que permitem que você assuma essa persona. Além disso, você pode forjar documentos, incluindo papéis oficiais e cartas pessoais, desde que você tenha visto um exemplo do tipo de documento ou a caligrafia que está tentando copiar.""}","{""ideais"":[""Independência. Sou um espirito livre – ninguém me diz o que fazer. (Caótico)"",""Justiça. Eu nunca roubo de pessoas que não podem perder algumas moedas. (Leal)"",""Caridade. Eu distribuo o dinheiro que adquiro com as pessoas que realmente precisam. (Bom)"",""Criatividade. Eu nunca faço a mesma trapaça duas vezes. (Caótico)"",""Amizade. Bens materiais vem e vão. Os laços de amizade duram pra sempre. (Bom)"",""Aspiração. Eu estou determinado a fazer algo por mim mesmo. (Qualquer)""],""tracos"":[""Eu me apaixono e desapaixono facilmente, e estou sempre em busca de alguém."",""Eu tenho uma piada para cada ocasião, especialmente ocasiões em que o humor é inapropriado."",""Bajulação é meu truque predileto para conseguir o que eu quero."",""Eu sou um jogador nato que não consegue resistir a se arriscar por uma possível recompensa."",""Eu minto sobre quase tudo, mesmo quando não existe qualquer boa razão."",""Sarcasmo e insultos são minhas armas prediletas."",""Eu tenho vários símbolos sagrados comigo, e invoco a divindade que seja mais útil em cada dado momento."",""Eu furto qualquer coisa que eu vejo que possa ter algum valor.""],""defeitos"":[""Não resisto um rostinho bonito."",""Estou sempre com dividas. Eu gasto meus lucros ilícitos com luxurias decadentes mais rápido do que os ganho."",""Estou convencido que ninguém pode me enganar da forma que eu engano os outros."",""Eu sou ganancioso demais pra meu próprio bem. Eu não consigo resistir a me arriscar se tiver dinheiro envolvido."",""Eu não resisto a enganar pessoas que são mais poderosas que eu."",""Eu odeio admitir e vou me odiar por isso, mas, eu vou correr e salvar minha própria pele se as coisas engrossarem.""],""vinculos"":[""Eu extorqui a pessoa errada e devo trabalhar para que esse indivíduo nunca mais cruze meu caminho ou o das pessoas com quem me importo."",""Eu devo tudo ao meu mentor – uma pessoa terrível que, provavelmente, está apodrecendo na cadeia em algum lugar."",""Em algum lugar por ai, eu tenho um filho que não me conhece. Eu estou tornando o mundo melhor para ele."",""Eu vim de uma família nobre e, um dia, irei reivindicar minhas terras e título daqueles que o roubaram de mim."",""Uma pessoa poderosa matou alguém que eu amava. Algum dia, em breve, terei minha vingança."",""Eu enganei e arruinei a vida de uma pessoa que não merecia. Eu busco reparar meus erros, mas talvez nunca seja capaz de me perdoar.""]}",2025-10-17 02:22:45.683193+00,"[""Enganação"",""Prestidigitação""]","[""Kit de disfarce"",""Kit de falsificação""]",0,
cortesao,Cortesão,Guia de Aventureiros da Costa da Espada,,,,,2025-11-04 20:45:30.987519+00,"[""Intuição"",""Persuasão""]",,2,Dois idiomas à sua escolha
criminoso,Criminoso,Livro do Jogador,Você é um criminoso experiente com um histórico de violação da lei. Você passou muito tempo entre outros criminosos e ainda mantém contatos no submundo do crime.,"[""Um pé de cabra"",""Um conjunto de roupas escuras comuns com capuz"",""Uma bolsa contendo 15 po""]","{""nome"":""Contato Criminal"",""descricao"":""Você tem um contato confiável e confiável que atua como seu elo de ligação com uma rede de outros criminosos. Você sabe como entrar em contato com seu contato e enviar mensagens, mesmo através de grandes distâncias; especificamente, você conhece os mensageiros locais, mestres de caravanas corruptos e marinheiros duvidosos que podem entregar mensagens para você.""}","{""ideais"":[""Honra. Eu não roubo de irmãos de profissão. (Leal)"",""Liberdade. Correntes foram feitas para serem partidas, assim como aqueles que as forjaram. (Caótico)"",""Caridade. Eu roubo dos ricos para dar aos que realmente precisam. (Bom)"",""Ganância. Eu farei qualquer coisa para me tornar rico. (Mal)"",""Povo. Eu sou leal aos meus amigos, não a qualquer ideal, e todos sabem que posso viajar até o Estige por aqueles que me importo. (Neutro)"",""Redenção. Há uma centelha de bondade em todo mundo. (Bom)""],""tracos"":[""Eu sempre tenho um plano para quando as coisas dão errado."",""Eu estou sempre calmo, não importa a situação. Eu nunca levanto minha voz ou deixo minhas emoções me controlarem."",""A primeira coisa que faço ao chegar a um novo local é decorar a localização de coisas valiosas – ou onde essas coisas podem estar escondidas."",""Eu prefiro fazer um novo amigo a um novo inimigo."",""Eu sou incrivelmente receoso em confiar. Aqueles que parecem mais amigáveis geralmente têm mais a esconder."",""Eu não presto atenção aos riscos envolvidos em uma situação, nunca me alerte sobre as probabilidades de fracasso."",""A melhor maneira de me levar a fazer algo é dizendo que eu não posso fazer."",""Eu explodo ao menor insulto.""],""defeitos"":[""Quando vejo algo valioso, não consigo pensar em mais nada, além de roubá-lo."",""Quando confrontado com uma escolha entre dinheiro e amigo, eu bem que escolho o dinheiro."",""Se há um plano, eu vou esquecê-lo. Se eu não esquecê-lo, vou ignorá-lo."",""Eu tenho um \""tique\"" que revela se estou mentindo."",""Eu viro as costas e corro quando as coisas começam a ficar ruins."",""Um inocente foi preso por um crime que eu cometi. Por mim tudo bem.""],""vinculos"":[""Eu estou tentando quitar uma dívida que tenho com um generoso benfeitor."",""Meus ganhos, honestos ou não, são para sustentar minha família."",""Algo importante foi roubado de mim, e eu vou recuperá-lo."",""Eu me tornarei o maior ladrão que já existiu."",""Eu sou culpado por um terrível crime, espero algum dia poder me redimir."",""Alguém que amo morreu por causa de um erro que cometi. Isso nunca acontecerá novamente.""]}",2025-10-17 02:22:45.775478+00,"[""Enganação"",""Furtividade""]","[""Um tipo de kit de jogo"",""Ferramentas de ladrão""]",0,
eremita,Eremita,Livro do Jogador,"Você viveu em reclusão - seja em uma comunidade protegida como um mosteiro, ou inteiramente sozinho - por uma parte formativa de sua vida. Em seu tempo afastado do clamor da sociedade, você encontrou silêncio, solidão e talvez algumas das respostas que procurava.","[""Um estojo de pergaminho cheio de notas de seus estudos ou orações"",""Um cobertor de inverno"",""Um conjunto de roupas comuns"",""Um kit de herbalismo"",""5 po""]","{""nome"":""Descoberta"",""descricao"":""A natureza quieta de sua reclusão extensa lhe deu acesso a uma descoberta única e poderosa. A natureza exata desta revelação depende da natureza de sua reclusão. Pode ser um grande segredo sobre o cosmos, os deuses, os seres poderosos de outros planos, ou as forças da natureza. Pode ser um local que ninguém mais jamais viu. Você pode ter descoberto um fato que foi esquecido há muito tempo, ou desenterrado alguma relíquia do passado que poderia reescrever a história.""}","{""ideais"":[""Bem Maior. Meus dons devem ser partilhados com todos, não usados em benefício próprio (Bom)"",""Lógica. Emoções não podem obscurecer meus sentidos do que é certo e verdade, ou meu pensamento lógico. (Leal)"",""Pensamento Livre. Questionamentos e curiosidade são os pilares do progresso. (Caótico)"",""Poder. Isolamento e contemplação são caminhos para poderes místicos e mágicos. (Mau)"",""Viva e Deixe Viver. Se intrometer nos assuntos dos outros só traz problemas. (Neutro)"",""Autoconhecimento. Se você conhece a si mesmo, não a mais nada para saber. (Qualquer)""],""tracos"":[""Eu fiquei tanto tempo isolado que raramente falo, preferindo gestos e grunhidos ocasionais."",""Eu sou absurdamente sereno, mesmo em face do desespero."",""O líder da minha comunidade tem algo sábio a dizer sobre cada tópico, eu estou ansioso para partilhar dessa sabedoria."",""Eu sinto uma empatia tremenda por todos que sofrem."",""Eu estou alheio a etiqueta e expectativas sociais."",""Eu relaciono tudo que acontece comigo a um grande plano cósmico."",""Eu, muitas vezes, me perco em meus pensamentos e contemplação me tornando alheio ao meu redor."",""Eu estou trabalhando em uma grande teoria filosófica e adoro partilhar minhas ideias.""],""defeitos"":[""Agora que voltei ao mundo, eu desfruto de seus prazeres um pouco demais."",""Eu escondo nas sombras, pensamentos sanguinários que meu isolamento e meditação não conseguiram apagar."",""Eu sou dogmático em meus pensamentos e filosofia."",""Eu deixo meu desejo de vencer discussões ofuscar amizades e harmonia."",""Eu me arrisco muito para descobrir um pouco de conhecimento perdido."",""Eu gosto de guardar segredos e não os partilho com ninguém.""],""vinculos"":[""Nada é mais importante que os outros membros do eremitério, ordem ou associação."",""Eu entrei em reclusão para me esconder daqueles que ainda devem estar me caçando. Algum dia irei confrontá-los."",""Eu ainda busco o esclarecimento que eu perseguia durante meu isolamento e continuo a me iludir."",""Eu entrei em reclusão porque eu amava alguém que eu não podia ter."",""Se minha descoberta vir à tona, ela poderá trazer destruição ao mundo."",""Meu isolamento me deu grande discernimento sobre um grande mal que apenas eu posso destruir.""]}",2025-10-17 02:22:45.864572+00,"[""Medicina"",""Religião""]","[""Kit de herbalismo""]",1,Um idioma à sua escolha
